idema,nombre,provincia,provincia_id,latitud,longitud,altitud,indsinop
C649I,GRAN CANARIA AEROPUERTO,las palmas,35,27.9167,-15.3833,24,60030
C649R,"TELDE, MELENARA",las palmas,35,27.9833,-15.3667,9,
C656V,TEROR,las palmas,35,28.0667,-15.5333,683,
C658L,LAS PALMAS DE G.C. (TAFIRA CMT),las palmas,35,28.0667,-15.45,269,
C658X,"LAS PALMAS DE GRAN CANARIA, TAFIRA",las palmas,35,28.0667,-15.45,269,
C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",las palmas,35,28.0833,-15.4,55,60029
C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",las palmas,35,28.1,-15.4167,15,60032
C665T,VALLESECO,las palmas,35,28.05,-15.55,900,
C668V,AGAETE - SUERTE ALTA,las palmas,35,28.0833,-15.6667,352,
C669B,ARUCAS,las palmas,35,28.1333,-15.5,86,
C689E,MASPALOMAS,las palmas,35,27.7333,-15.5833,6,60037
C839I,TEGUISE,las palmas,35,29.2167,-13.5,10,
C839X,LA GRACIOSA,las palmas,35,29.2167,-13.5,19,60045
C916Q,"EL PINAR, DEPÓSITO",santa cruz de tenerife,38,27.7167,-17.9667,948,
C917E,"EL PINAR, LA DEHESA",santa cruz de tenerife,38,27.7167,-18.1,713,
C919K,TACORON-LAPILLAS-TORTUGA,santa cruz de tenerife,38,27.65,-18.0167,98,
C925F,"SAN ANDRÉS, VALVERDE",santa cruz de tenerife,38,27.7667,-17.95,1070,
C928I,VALVERDE,santa cruz de tenerife,38,27.8,-17.9167,670,
C929I,HIERRO AEROPUERTO,santa cruz de tenerife,38,27.8167,-17.8833,32,60001
C939T,"FRONTERA, SABINOSA",santa cruz de tenerife,38,27.75,-18.1,20,
0002I,VANDELLÒS  ,tarragona,43,40.95,0.8667,32,8169
0009X,ALFORJA,tarragona,43,41.2,0.95,406,
0016A,REUS AEROPUERTO,tarragona,43,41.1333,1.1667,71,8175
0016B,REUS (CENTRE LECTURA),tarragona,43,41.15,1.1,118,
0034X,VALLS,tarragona,43,41.2833,1.25,233,
0042Y,TARRAGONA ,tarragona,43,41.1167,1.2333,55,
0061X,PONTONS,barcelona,8,41.4167,1.5167,632,
0066X,VILAFRANCA DEL PENEDÈS,barcelona,8,41.3167,1.6667,177,
0073X,SITGES,barcelona,8,41.2333,1.85,58,
0076,BARCELONA AEROPUERTO,barcelona,8,41.2833,2.0667,4,8181
0092X,BERGA,barcelona,8,42.1,1.85,682,
0106X,BALSARENY,barcelona,8,41.85,1.8667,361,
0114X,PRATS DE LLUÇANÈS,barcelona,8,42.0,2.0167,700,
0120X,MOIÀ,barcelona,8,41.8,2.0833,742,
0149D,MANRESA (LA CULLA),barcelona,8,41.7167,1.8333,291,
0149X,MANRESA,barcelona,8,41.7167,1.8333,291,8174
0158O,MONTSERRAT,barcelona,8,41.5833,1.8333,738,
0158X,MONISTROL DE MONTSERRAT,barcelona,8,41.5833,1.8333,738,
0171X,IGUALADA,barcelona,8,41.5667,1.6167,313,8172
0194D,"CORBERA, PIC D'AGULLES",barcelona,8,41.4,1.8833,647,8179
0200E,"BARCELONA, FABRA",barcelona,8,41.4167,2.1167,408,
0201D,"BARCELONA, PORT OLÍMPIC",barcelona,8,41.3833,2.2,26,8180
0201X,"BARCELONA, DRASSANES",barcelona,8,41.3667,2.1667,11,
0222X,CALDES DE MONTBUI,barcelona,8,41.6,2.1667,175,
0229I,SABADELL AEROPUERTO,barcelona,8,41.5167,2.1,146,8192
0244X,VILASSAR DE DALT,barcelona,8,41.5,2.35,56,
0252D,ARENYS DE MAR,barcelona,8,41.5833,2.5333,74,8186
0255B,SANTA SUSANNA,barcelona,8,41.65,2.6833,40,8188
0260X,FOGARS DE MONTCLÚS,barcelona,8,41.75,2.4167,936,
0281Y,BLANES,girona,17,41.6667,2.8,45,
0284X,"CASTELL, PLATJA D'ARO ",girona,17,41.8,3.0167,14,
0294B,LA BISBAL (D'EMPORDA 3),girona,17,41.9667,3.0333,51,
0312X,SANT PAU DE SEGÚRIES,girona,17,42.25,2.35,851,
0320I,PLANOLES,girona,17,42.3167,2.1,1151,
0321,CAMPDEVANOL,girona,17,42.2167,2.1667,731,
0324A,RIPOLL,girona,17,42.1833,2.1833,675,8118
0341,TONA (ESCOLA),barcelona,8,41.8333,2.2167,611,
0341X,TONA,barcelona,8,41.8333,2.2167,607,
0349,SANT JULIÀ  DE VILATORTA,barcelona,8,41.9167,2.3167,578,8119
0360X,LES PLANES D'HOSTOLES,girona,17,42.05,2.55,337,
0363X,SANT HILARI,girona,17,41.8667,2.5,810,
0367,GIRONA AEROPUERTO,girona,17,41.9,2.75,143,8184
0370B,"GIRONA, ANTIC INSTITUT",girona,17,41.9667,2.8167,95,
0370E,GIRONA,girona,17,41.9667,2.8167,76,
0372C,PORQUERES,girona,17,42.1,2.75,157,8120
0385X,L'ESTARTIT,girona,17,42.05,3.2,1,
0394X,LA VALL DE BIANYA,girona,17,42.2,2.4667,350,
0411X,CASTELLÓ D'EMPÚRIES,girona,17,42.2167,3.0833,2,
0413A,MAÇANET DE CABRENYS,girona,17,42.3833,2.75,355,
0421E,ESPOLLA 'LES ALBERES',girona,17,42.3833,3.0,100,
0421X,ESPOLLA,girona,17,42.3833,3.0,100,
0429X,FIGUERES,girona,17,42.25,2.95,45,
0433D,CABO DE CREUS,girona,17,42.3167,3.3,75,8121
1002Y,"BAZTAN, IRURITA ",navarra,31,43.1333,-1.5333,183,8030
1010X,BERA,navarra,31,43.2667,-1.6667,54,
1012P,IRUN,gipuzkoa,20,43.3167,-1.7833,120,
1014,"HONDARRIBIA, MALKARROA",gipuzkoa,20,43.35,-1.7833,4,8029
1014A,DONOSTIA / SAN SEBASTIÁN AEROPUERTO,gipuzkoa,20,43.35,-1.7833,4,8029
1021X,"ERRENTERIA, AÑARBE",gipuzkoa,20,43.2,-1.8667,165,
1021Y,ARTICUTZA (AUTOMATICA),navarra,31,43.2,-1.7833,305,
1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",gipuzkoa,20,43.3,-2.0333,250,8027
1025A,SEGURA,gipuzkoa,20,43.0,-2.25,255,
1025X,"BEASAIN, ARRIARAN",gipuzkoa,20,43.05,-2.2167,255,
1026X,ORDIZIA,gipuzkoa,20,43.05,-2.1833,290,
1033X,ARESO,navarra,31,43.0833,-1.95,520,
1037X,LEGAZPI,gipuzkoa,20,43.05,-2.3333,460,
1037Y,ZUMARRAGA,gipuzkoa,20,43.0667,-2.3167,420,8037
1038X,AZPEITIA,gipuzkoa,20,43.1667,-2.2667,180,
1041A,ZUMAIA,gipuzkoa,20,43.3,-2.25,28,8026
1044X,"ARAMAIO, ETXAGUEN",araba,1,43.05,-2.5833,617,
1048X,ARETXABALETA,gipuzkoa,20,43.0167,-2.45,308,
1049N,ELGETA,gipuzkoa,20,43.1333,-2.4833,470,
1050J,ELGOIBAR,gipuzkoa,20,43.2,-2.4,119,8036
1052A,MUTRIKU,gipuzkoa,20,43.3167,-2.3833,150,
1055B,LEKEITIO,bizkaia,48,43.3667,-2.5,12,8024
1056K,FORUA,bizkaia,48,43.3333,-2.6667,45,
1057B,MATXITXAKO,bizkaia,48,43.45,-2.75,93,
1059X,PUNTA GALEA,bizkaia,48,43.3667,-3.0167,81,8059
1060X,AMURRIO,araba,1,43.05,-3.0,240,
1064L,"OROZKO, IBARRA",bizkaia,48,43.0833,-2.85,270,
1069Y,"ABADIÑO, URKIOLA",bizkaia,48,43.0833,-2.6333,747,
1074C,AMOREBIETA-ETXANO,bizkaia,48,43.2,-2.7,100,
1078C,BALMASEDA,bizkaia,48,43.1667,-3.2,210,
1078I,GÜEÑES,bizkaia,48,43.2,-3.1,208,8035
1082,BILBAO AEROPUERTO,bizkaia,48,43.2833,-2.9,42,8025
1083B,SOPUERTA,bizkaia,48,43.2667,-3.1667,177,
1083L,CASTRO URDIALES,cantabria,39,43.3833,-3.2333,45,8020
1089U,RAMALES DE LA VICTORIA,cantabria,39,43.25,-3.4667,80,
1096X,"BARCENA DE CICERO, TRETO",cantabria,39,43.3833,-3.4667,10,
1103X,SAN ROQUE DE RIOMIERA,cantabria,39,43.2167,-3.7167,849,
1109,SANTANDER AEROPUERTO,cantabria,39,43.4167,-3.8167,3,8021
1109X,SANTANDER AEROPUERTO,cantabria,39,43.4167,-3.8167,3,8021
1110,"SANTANDER, CIUDAD",cantabria,39,43.45,-3.8167,64,
1111,SANTANDER,cantabria,39,43.4833,-3.8,52,8023
1111X,SANTANDER,cantabria,39,43.4833,-3.8,51,8023
1124E,VILLACARRIEDO,cantabria,39,43.2333,-3.8333,196,
1135C,"LOS TOJOS, BÁRCENA MAYOR",cantabria,39,43.1333,-4.2,460,
1152C,SAN FELICES DE BUELNA,cantabria,39,43.2667,-4.0333,105,
1154H,"TORRELAVEGA, SIERRAPANDO",cantabria,39,43.35,-4.0167,110,
1159,SAN VICENTE DE LA BARQUERA,cantabria,39,43.3833,-4.3833,38,8017
1167B,"CAMALEÑO, FUENTE DE",cantabria,39,43.1333,-4.8,1100,
1167G,"MIRADOR DEL CABLE, PARQUE NACIONAL PICOS DE EUROPA",cantabria,39,43.15,-4.8,1910,
1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",cantabria,39,43.0833,-4.7667,1722,
1174I,"CILLÓRIGO DE LIÉBANA, TAMA",cantabria,39,43.1667,-4.6,250,
1176A,TRESVISO,cantabria,39,43.25,-4.6667,940,
1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",asturias,33,43.2333,-4.7333,1236,
1178Y,"POSADA DE VALDEÓN, SOTO ",leon,24,43.1333,-4.9167,953,
1179B,CABRALES,asturias,33,43.3,-4.85,458,
1183X,LLANES,asturias,33,43.4167,-4.7333,10,8016
1186P,"AMIEVA, PANIZALES",asturias,33,43.25,-5.1167,370,
1199X,"PILOÑA, BARGAÉU",asturias,33,43.3667,-5.3833,280,
1203D,COLUNGA,asturias,33,43.4833,-5.2333,30,
1207U,"GIJÓN, CAMPUS",asturias,33,43.5167,-5.6167,26,8065
1208,GIJÓN,asturias,33,43.5333,-5.6333,3,
1208A,GIJÓN. LA MERCED,asturias,33,43.5333,-5.65,22,
1208H,"GIJÓN, PUERTO",asturias,33,43.55,-5.7,5,8014
1210X,CABO PEÑAS,asturias,33,43.65,-5.8333,100,8012
1212E,ASTURIAS AEROPUERTO,asturias,33,43.5667,-6.0333,127,8011
1221D,PAJARES-VALGRANDE,asturias,33,42.9667,-5.7667,1480,8031
1223P,"LENA, RONZÓN",asturias,33,43.1167,-5.8167,370,
1226X,"ALLER, FELECHOSA",asturias,33,43.0833,-5.4667,750,
1234P,"MIERES, BAIÑA",asturias,33,43.2667,-5.8167,170,
1249I,OVIEDO,asturias,33,43.35,-5.8667,336,8015
1249X,OVIEDO,asturias,33,43.35,-5.8667,334,8015
1272B,"TINEO, SOUTU",asturias,33,43.2833,-6.3833,280,
1276F,POLA DE SOMIEDO,asturias,33,43.1,-6.25,670,
1279X,"SALAS, CAMUÑO",asturias,33,43.4167,-6.2167,240,
1283U,CABO BUSTO,asturias,33,43.5667,-6.4667,60,8010
1297E,CERVANTES,lugo,27,42.7667,-7.0167,1020,
1302F,DEGAÑA,asturias,33,42.95,-6.4667,1310,
1309C,"IBIAS, SAN ANTOLIN",asturias,33,43.0167,-6.8833,780,
1327A,"VILLAYÓN, ONETA",asturias,33,43.45,-6.6667,410,
1331A,CASTROPOL,asturias,33,43.5167,-7.0167,40,8009
1341B,"TARAMUNDI, OURIA",asturias,33,43.4,-7.05,340,
1342X,RIBADEO,lugo,27,43.5333,-7.0667,43,
1344X,MONDOÑEDO,lugo,27,43.4167,-7.35,125,
1347T,BURELA,lugo,27,43.65,-7.35,80,
1351,ESTACA DE BARES,a coruna,15,43.7833,-7.6833,90,8004
1354C,FERROL,a coruna,15,43.4667,-8.25,4,8005
1363X,AS PONTES,a coruna,15,43.4333,-7.85,343,
1387,A CORUÑA,a coruna,15,43.35,-8.4167,57,8001
1387D,A CORUÑA BENS,a coruna,15,43.35,-8.4333,132,8000
1387E,A CORUÑA AEROPUERTO,a coruna,15,43.3,-8.3667,98,8002
1390X,"CARBALLO, DEPURADORA",a coruna,15,43.2,-8.7,98,
1393,CABO VILÁN,a coruna,15,43.15,-9.2,50,8006
1399,VIMIANZO,a coruna,15,43.05,-9.0333,287,
1400,FISTERRA,a coruna,15,42.9167,-9.2833,230,8040
1406X,MAZARICOS,a coruna,15,42.9333,-8.9833,340,
1410X,SOBRADO,a coruna,15,43.0333,-8.0167,500,
1428,SANTIAGO DE COMPOSTELA AEROPUERTO,a coruna,15,42.8833,-8.4,370,8042
1435C,NOIA,a coruna,15,42.8,-8.8667,128,
1437O,MONTE IROITE,a coruna,15,42.7167,-8.9167,685,8043
1442U,BOIRO,a coruna,15,42.6333,-8.8833,10,
1446X,MONTERROSO,lugo,27,42.8,-7.7667,680,
1455I,RODEIRO-VILAMAIOR,pontevedra,36,42.7,-7.95,645,
1465U,LALIN-CRISTIMIL,pontevedra,36,42.65,-8.1833,463,
1466A,SILLEDA,pontevedra,36,42.7,-8.25,435,
1468X,A ESTRADA,pontevedra,36,42.6833,-8.5,269,
1473A,PADRÓN,a coruna,15,42.7333,-8.6167,100,8039
1475X,SANTIAGO DE COMPOSTELA,a coruna,15,42.8667,-8.55,240,8041
1476R,"ROIS, CASAS DO PORTO",a coruna,15,42.7333,-8.7,210,
1477U,VILAGARCIA DE AROUSA,pontevedra,36,42.5667,-8.7667,36,
1477V,VILAGARCÍA DE AROUSA,pontevedra,36,42.5833,-8.7667,32,
1484,"PONTEVEDRA, INSTITUTO",pontevedra,36,42.4167,-8.6333,19,
1484C,PONTEVEDRA,pontevedra,36,42.4333,-8.6,113,8044
1486E,ESCUELA NAVAL DE MARÍN,pontevedra,36,42.3833,-8.7,3,8043
1489A,A LAMA,pontevedra,36,42.4,-8.45,395,
1495,VIGO AEROPUERTO,pontevedra,36,42.2333,-8.6167,255,8045
1496X,VIGO ,pontevedra,36,42.2167,-8.7167,120,
1505,LUGO AEROPUERTO,lugo,27,43.1,-7.45,442,8008
1518A,LUGO,lugo,27,42.9833,-7.55,442,
1521I,O PÁRAMO,lugo,27,42.8333,-7.4833,403,
1521X,BECERREÁ,lugo,27,42.85,-7.1833,1080,
1541B,VILLABLINO,leon,24,42.9167,-6.3333,958,
1542,PUERTO DE LEITARIEGOS,asturias,33,42.9833,-6.4,1530,8052
1549,PONFERRADA,leon,24,42.55,-6.6,532,8053
1561I,VEGA DE ESPINAREDA  ,leon,24,42.75,-6.6667,770,
1583X,O BARCO DE VALDEORRAS,ourense,32,42.4,-6.9833,315,
1631E,A POBRA DE TRIVES,ourense,32,42.3333,-7.2667,840,8051
1639X,CHANDREXA DE QUEIXA,ourense,32,42.25,-7.3833,990,
1658,FOLGOSO DO COUREL,lugo,27,42.5833,-7.1833,612,
1679A,MONFORTE DE LEMOS,lugo,27,42.5167,-7.5,291,
1690A,OURENSE,ourense,32,42.3167,-7.85,146,8048
1690B,"OURENSE,INSTITUTO",ourense,32,42.3167,-7.85,148,
1696O,BEARIZ,ourense,32,42.4667,-8.2667,610,
1700X,O CARBALLIÑO,ourense,32,42.4167,-8.0833,400,8047
1701X,RIBADAVIA,ourense,32,42.2833,-8.1167,112,
1706A,ALLARIZ,ourense,32,42.1667,-7.7833,492,
1719,A CAÑIZA,pontevedra,36,42.2167,-8.2667,560,
1723X,"PONTEAREAS, CANEDO   ",pontevedra,36,42.1667,-8.4833,90,
1730E,O ROSAL,pontevedra,36,41.9333,-8.8333,55,
1735X,XINZO DE LIMIA,ourense,32,42.0667,-7.7333,616,8050
1738U,MUIÑOS,ourense,32,41.9333,-7.9833,730,
1740,"SANTILLANA DEL MAR, ALTAMIRA",cantabria,39,43.3667,-4.1167,150,
2005Y,"VINUESA, QUINTANAREJO",soria,42,41.9667,-2.7667,1197,
2017Y,"LA PÓVEDA DE SORIA, BARRIOMARTÍN",soria,42,41.9833,-2.4833,1260,
2030,SORIA,soria,42,41.7667,-2.4667,1081,8148
2044B,LUBIA,soria,42,41.6,-2.5,1100,
2048A,MORÓN DE ALMAZÁN,soria,42,41.4167,-2.4167,978,
2059B,LA RIBA DE ESCALOTE,soria,42,41.3333,-2.7833,1042,
2084Y,UCERO,soria,42,41.7167,-3.0333,960,
2092,BURGO DE OSMA,soria,42,41.5833,-3.0833,932,
2096B,LICERAS,soria,42,41.3667,-3.25,1150,
2106B,CORUÑA DEL CONDE,burgos,9,41.7333,-3.3667,955,
2117D,ARANDA DE DUERO,burgos,9,41.65,-3.7333,790,8144
2135A,FRESNO DE CANTESPINO,segovia,40,41.3667,-3.5,993,
2140A,ALDEANUEVA DE SERREZUELA,segovia,40,41.45,-3.7833,1135,
2150H,"LA PINILLA, ESTACIÓN DE ESQUÍ",segovia,40,41.1833,-3.4667,1798,8143
2166Y,PEÑAFIEL,valladolid,47,41.5833,-4.1167,756,
