indicativo,nombre
9198X,CANFRANC
9201K,JACA
9201X,JACA
9207,"VALLE DE HECHO, HECHO"
9208E,ARAGÜÉS DEL PUERTO
9211F,"BAILO, PUYALTO"
9218A,ISABA/IZABA
9228J,OROZ-BETELU/OROTZ-BETELU
9228T,RONCESVALLES/ORREAGA
9238X,NAVASCUÉS/NABASKOZE
9244X,SOS DEL REY CATÓLICO
9245X,CÁSEDA
9252X,OLITE/ERRIBERRI
9257X,"ESTERIBAR, EMBALSE DE EUGI"
9262,PAMPLONA
9262P,MONREAL/ELO
9263D,"PAMPLONA, AEROPUERTO"
9263X,"ARANGUREN, ILUNDAIN  "
9274X,IRURTZUN
9280B,LARRAGA
9283X,CADREITA
9287A,SAN PEDRO MANRIQUE
9293X,"ALFARO, LA PLANA"
9294E,"BARDENAS REALES, BASE AÉREA"
9299X,TARAZONA
9301X,MONTEAGUDO
9302Y,TUDELA
9321X,EJEA DE LOS CABALLEROS
9336D,CASTEJON DE VALDEJASA
9344C,ARCOS DE JALÓN
9352A,ALMAZUL
9354X,ALHAMA DE ARAGON
9374X,SANTA EULALIA DEL CAMPO
9377Y,EL PEDREGAL
9381,"CALAMOCHA, AERÓDROMO"
9381I,CALAMOCHA
9390,DAROCA
9394X,CALATAYUD
9427X,LA ALMUNIA DE DOÑA GODINA
9434,"ZARAGOZA, AEROPUERTO"
9434P,"ZARAGOZA, VALDESPARTERA"
9436X,FONFRÍA
9445L,"FORMIGAL, SARRIOS"
9451F,"PANTICOSA, PETROSOS"
9453X,"BIESCAS, EMBALSE DE BÚBAL"
9460X,SABIÑÁNIGO
9491X,ALMUDÉVAR
9495Y,LECIÑENA
9501X,VALMADRID 
9510X,QUINTO
9513X,MUNIESA
9531Y,MONTALBÁN
9546B,HIJAR
9550C,"ANDORRA, HORCALLANA"
9561X,CASTELLOTE
9562X,MORELLA
9563X,CASTELLFORT
9569A,CALANDA
9573X,ALCAÑIZ
9574B,"CASPE, PLANA DEL PILÓN"
9576C,BUJARALOZ
9585,LA MOLINA
9590,MARTINET  
9590D,CAP DE REC
9619,LA SEU D'URGELL
9632X,TUIXENT
9638D,COLL DE NARGÓ
9647X,TORÀ
9650X,ARTESA DE SEGRE
9657X,ESTERRI D'ÀNEU
9660,SANT MAURICI (LLAC)
9677,PORT AINÉ
9689X,TORRE DE CABDELLA 
9698U,TALARN
9707,LLIMIANA
9718X,TORDERA - GRANYANELLA
9720X,TÀRREGA
9724X,OS DE BALAGUER
9726E,LLORAC
9729X,MOLLERUSSA
9744B,VALL DE BOÍ
9751,SOPEIRA
9756X,BENABARRE
9771,"LLEIDA, OBSERVATORIO"
9771C,LLEIDA
9772X,LA POBLA DE CÉRVOLES
9775X,EL SOLERÀS
9776D,ELS TORMS
9784P,BIELSA
9808X,"AÍNSA-SOBRARBE, LA SERRETA"
9812M,"PARADOR DE ORDESA, PARQUE NACIONAL ORDESA Y MONTEPERDIDO"
9814A,TORLA
9814I,"TORLA-ORDESA, EL CEBOLLAR"
9814X,TORLA - ORDESA
9838B,BENASQUE
9839V,"CERLER, COGULLA"
9843A,SEIRA
9855E,"CAPELLA, LAGUARRES"
9866C,BARBASTRO
9894Y,SARIÑENA
9898,"HUESCA, AEROPUERTO"
9901X,HUESCA
9908X,LANAJA
9911X,BALLOBAR
9918Y,"TAMARITE DE LITERA, LA MELUSA"
9924X,FRAGA
9935X,VALDERROBRES
9946X,HORTA DE SANT JOAN
9947X,LA POBLA DE MASSALUCA
9961X,CABACÉS
9975X,RASQUERA
9981A,ESTACIÓN DE TORTOSA (ROQUETES)
9987P,SANT JAUME D'ENVEJA
9988B,CAP DE VAQUÈIRA
9990X,"NAUT ARAN, ARTIES "
9994X,BOSSÒST
9995Y,VALCARLOS/LUZAIDE
9998X,BELLO
